"StichtagDatJahr","QuarSort","QuarCd","QuarLang","AlterVSort","AlterVCd","AlterVKurz","AlterV05Sort","AlterV05Kurz","HerkunftLang","HerkunftCd","HerkunftSort","SexCd","SexKurz","AnzBestWir"
1993,11,"011","Rathaus",60,60,"60",13,"60-64","Schweizer/in","1",1,"2","W",15
1993,11,"011","Rathaus",60,60,"60",13,"60-64","Ausländer/in","2",2,"1","M",6
1993,11,"011","Rathaus",61,61,"61",13,"60-64","Schweizer/in","1",1,"1","M",14
1993,11,"011","Rathaus",61,61,"61",13,"60-64","Schweizer/in","1",1,"2","W",8
1993,11,"011","Rathaus",61,61,"61",13,"60-64","Ausländer/in","2",2,"1","M",3
1993,11,"011","Rathaus",61,61,"61",13,"60-64","Ausländer/in","2",2,"2","W",2
1993,11,"011","Rathaus",62,62,"62",13,"60-64","Schweizer/in","1",1,"1","M",10
1993,11,"011","Rathaus",62,62,"62",13,"60-64","Schweizer/in","1",1,"2","W",17
1993,12,"012","Hochschulen",83,83,"83",17,"80-84","Schweizer/in","1",1,"2","W",1
1993,12,"012","Hochschulen",84,84,"84",17,"80-84","Schweizer/in","1",1,"1","M",4
1993,12,"012","Hochschulen",84,84,"84",17,"80-84","Schweizer/in","1",1,"2","W",10
1993,12,"012","Hochschulen",85,85,"85",18,"85-89","Schweizer/in","1",1,"1","M",1
1993,12,"012","Hochschulen",85,85,"85",18,"85-89","Schweizer/in","1",1,"2","W",5
1993,12,"012","Hochschulen",86,86,"86",18,"85-89","Schweizer/in","1",1,"1","M",2
1993,12,"012","Hochschulen",86,86,"86",18,"85-89","Schweizer/in","1",1,"2","W",2
1993,12,"012","Hochschulen",86,86,"86",18,"85-89","Ausländer/in","2",2,"2","W",1
1993,12,"012","Hochschulen",87,87,"87",18,"85-89","Schweizer/in","1",1,"1","M",2
1993,12,"012","Hochschulen",91,91,"91",19,"90-94","Schweizer/in","1",1,"1","M",1
1993,12,"012","Hochschulen",91,91,"91",19,"90-94","Schweizer/in","1",1,"2","W",3
1993,12,"012","Hochschulen",92,92,"92",19,"90-94","Schweizer/in","1",1,"1","M",1
1993,12,"012","Hochschulen",92,92,"92",19,"90-94","Schweizer/in","1",1,"2","W",2
1993,12,"012","Hochschulen",93,93,"93",19,"90-94","Schweizer/in","1",1,"2","W",1
1993,12,"012","Hochschulen",94,94,"94",19,"90-94","Schweizer/in","1",1,"2","W",1
1993,12,"012","Hochschulen",96,96,"96",20,"95-99","Schweizer/in","1",1,"2","W",1
1993,12,"012","Hochschulen",98,98,"98",20,"95-99","Schweizer/in","1",1,"1","M",1
1993,12,"012","Hochschulen",98,98,"98",20,"95-99","Schweizer/in","1",1,"2","W",1
1993,12,"012","Hochschulen",103,103,"103",21,"100 u. älter","Schweizer/in","1",1,"2","W",1
1993,13,"013","Lindenhof",0,0,"0",1,"0-4","Schweizer/in","1",1,"1","M",5
1993,13,"013","Lindenhof",0,0,"0",1,"0-4","Schweizer/in","1",1,"2","W",3
1993,13,"013","Lindenhof",0,0,"0",1,"0-4","Ausländer/in","2",2,"1","M",1
1993,13,"013","Lindenhof",0,0,"0",1,"0-4","Ausländer/in","2",2,"2","W",1
1993,13,"013","Lindenhof",1,1,"1",1,"0-4","Schweizer/in","1",1,"1","M",4
1993,13,"013","Lindenhof",1,1,"1",1,"0-4","Schweizer/in","1",1,"2","W",1
1993,13,"013","Lindenhof",2,2,"2",1,"0-4","Schweizer/in","1",1,"1","M",2
1993,13,"013","Lindenhof",3,3,"3",1,"0-4","Schweizer/in","1",1,"1","M",1
1993,13,"013","Lindenhof",3,3,"3",1,"0-4","Schweizer/in","1",1,"2","W",2
1993,13,"013","Lindenhof",4,4,"4",1,"0-4","Schweizer/in","1",1,"1","M",2
1993,13,"013","Lindenhof",4,4,"4",1,"0-4","Schweizer/in","1",1,"2","W",3
1993,13,"013","Lindenhof",4,4,"4",1,"0-4","Ausländer/in","2",2,"1","M",2
